"","immig","educ","female","white","voted_trump","intend_trump","repub"
"346",0,2,1,1,1,1,1
"348",0,1,0,1,1,1,1
"350",0,2,1,1,0,0,0
"354",1,2,1,0,0,0,0
"356",0,1,0,1,1,1,1
"359",1,3,0,1,0,0,0
"360",0,0,1,1,1,1,1
"361",1,1,0,1,0,0,0
"363",1,3,0,1,1,1,1
"369",1,3,0,1,0,0,0
"370",1,1,1,0,0,0,0
"371",0,3,0,1,1,1,1
"374",1,1,0,1,1,1,1
"375",1,0,0,0,0,0,0
"377",0,3,1,1,0,0,0
"379",1,3,0,1,0,0,0
"380",0,2,0,1,1,1,1
"381",0,2,1,0,0,0,0
"383",1,2,0,1,0,0,0
"384",1,1,0,1,0,0,0
"385",0,1,0,1,1,1,1
"386",1,2,1,0,0,0,0
"387",1,3,1,1,0,0,0
"391",1,3,0,0,1,1,1
"392",0,1,1,1,1,1,1
"393",1,1,0,1,1,1,1
"395",1,2,1,0,0,0,0
"396",1,2,1,1,1,1,1
"397",1,1,1,0,0,0,0
"398",1,1,0,1,1,1,1
"400",0,1,0,1,1,1,1
"401",1,2,1,1,1,1,1
"402",1,1,1,0,0,0,0
"403",1,2,1,0,0,0,0
"404",1,0,0,1,1,1,1
"405",0,1,0,1,1,1,1
"406",1,1,1,1,0,0,0
"409",0,1,0,1,1,1,1
"410",1,2,1,1,0,0,0
"412",1,1,1,1,0,0,0
"415",1,0,0,1,0,0,0
"417",1,1,0,0,0,0,0
"418",0,1,0,0,0,0,0
"419",1,1,1,0,1,1,1
"423",1,3,1,1,0,0,0
"425",1,1,1,1,0,0,0
"427",0,1,1,1,1,1,0
"428",1,2,0,1,1,1,1
"430",1,1,0,1,0,0,0
"432",0,1,0,1,1,1,1
"435",0,2,0,0,1,1,1
"437",1,1,1,1,1,1,1
"438",1,2,1,1,1,1,1
"439",0,1,1,1,1,1,1
"441",0,3,1,1,1,1,1
"443",1,2,1,0,0,0,0
"445",1,2,0,1,1,1,1
"446",1,1,0,1,1,1,1
"448",1,3,1,1,0,0,0
"451",1,2,0,1,0,0,0
"452",1,2,1,1,0,0,0
"453",0,2,1,1,1,1,1
"454",1,1,1,0,0,0,0
"455",0,1,0,0,1,1,1
"464",0,2,1,0,1,1,1
"465",1,1,1,0,0,0,0
"468",1,1,1,1,0,0,1
"469",1,2,0,1,1,1,1
"473",0,1,1,1,1,1,1
"474",0,1,0,1,1,1,1
"475",1,3,1,1,0,0,0
"477",0,2,1,1,0,0,0
"478",1,2,0,1,0,0,1
"483",1,1,1,1,0,0,0
"484",0,1,1,1,1,1,1
"486",1,3,0,0,1,1,1
"487",1,2,1,0,0,0,0
"488",1,3,1,1,0,0,0
"491",0,1,0,1,1,1,1
"493",0,1,0,0,0,0,0
"494",1,2,1,0,0,0,0
"495",1,1,1,0,0,0,0
"496",0,1,1,0,0,0,0
"497",1,1,1,1,1,1,1
"498",1,2,0,0,0,0,0
"501",0,1,0,0,0,0,1
"503",1,2,1,1,0,0,1
"504",1,2,0,0,0,0,0
"506",1,2,1,1,1,1,1
"507",0,3,0,0,1,1,1
"508",1,1,1,1,1,0,0
"509",0,1,0,1,0,0,0
"511",0,1,0,1,1,1,1
"513",0,1,1,1,1,1,1
"514",1,3,1,1,0,0,0
"515",0,1,1,1,1,1,1
"517",1,2,0,1,1,1,1
"518",0,1,0,1,1,1,1
"521",1,2,1,1,1,1,1
"522",1,1,1,1,0,0,0
"523",1,2,0,0,0,0,0
"524",1,2,1,1,1,1,1
"525",1,1,0,1,0,0,1
"527",1,3,1,1,0,0,0
"529",0,1,1,1,1,1,1
"530",0,1,0,1,1,1,1
"531",0,1,0,1,1,1,1
"532",0,1,1,1,1,1,1
"537",1,2,1,1,1,1,1
"538",1,2,1,1,0,0,0
"539",1,1,1,1,0,0,0
"540",1,2,1,0,0,0,0
"542",1,2,1,1,1,1,1
"544",0,2,1,1,1,1,1
"545",0,1,1,1,1,1,1
"547",1,1,0,0,0,0,0
"548",0,3,0,1,0,0,0
"551",0,2,0,1,1,1,1
"552",1,2,1,1,0,0,0
"553",1,1,0,0,0,0,0
"554",1,2,0,1,1,1,1
"555",1,2,1,1,1,1,1
"556",0,3,0,1,1,1,1
"557",1,1,1,1,1,1,1
"559",0,1,0,1,1,1,1
"560",1,1,0,0,0,0,0
"561",1,1,0,0,0,0,0
"563",1,1,0,0,0,0,0
"566",1,1,1,1,1,1,0
"567",0,3,0,1,0,0,0
"568",1,0,1,0,0,0,0
"569",1,0,1,0,0,0,0
"571",1,2,0,0,0,0,0
"573",1,2,0,1,0,0,0
"574",1,1,0,0,0,0,0
"575",1,2,0,0,1,1,1
"576",1,1,1,1,1,1,1
"577",1,1,1,1,0,0,0
"579",1,3,0,1,0,0,0
"582",1,1,1,1,1,1,1
"584",1,1,0,1,1,0,0
"586",1,2,1,0,0,0,0
"587",0,3,0,1,1,1,1
"590",0,1,0,1,1,1,1
"592",1,1,0,0,0,0,0
"595",1,2,1,1,0,0,0
"598",1,1,0,1,0,0,0
"599",1,1,1,0,0,0,0
"602",0,1,0,0,0,1,1
"603",1,1,0,0,0,1,1
"606",1,1,1,0,0,0,0
"607",1,3,1,1,0,0,0
"608",0,1,1,0,0,0,0
"611",0,1,0,0,1,1,1
"613",1,1,0,1,0,0,1
